"name","year","quarter","month","sum"
"Canada",2020,2,NULL,1.0
"Canada",2020,3,"August",0
"Canada",2020,3,"July",0
"Canada",2020,3,"September",0
"Canada",2020,3,NULL,0
"Canada",2020,4,"December",0
"Canada",2020,4,"November",0
"Canada",2020,4,"October",0
"Canada",2020,4,NULL,0
"Canada",2020,NULL,NULL,1.0
"Canada",NULL,NULL,NULL,246.0
"Chad",2005,1,"February",0
"Chad",2005,1,"January",14.0
"Chad",2005,1,"March",0
"Chad",2005,1,NULL,14.0
"Chad",2005,2,"April",0
"Chad",2005,2,"June",0
"Chad",2005,2,"May",115.0
"Chad",2005,2,NULL,115.0
"Chad",2005,3,"August",0
"Chad",2005,3,"July",0
"Chad",2005,3,"September",0
"Chad",2005,3,NULL,0
"Chad",2005,4,"December",0
"Chad",2005,4,"November",0
"Chad",2005,4,"October",0
"Chad",2005,4,NULL,0
"Chad",2005,NULL,NULL,129.0
"Chad",2006,1,"February",0
"Chad",2006,1,"January",0
"Chad",2006,1,"March",0
"Chad",2006,1,NULL,0
"Chad",2006,2,"April",0
"Chad",2006,2,"June",20.0
"Chad",2006,2,"May",0
"Chad",2006,2,NULL,20.0
"Chad",2006,3,"August",0
"Chad",2006,3,"July",0
"Chad",2006,3,"September",0
"Chad",2006,3,NULL,0
"Chad",2006,4,"December",0
"Chad",2006,4,"November",0
"Chad",2006,4,"October",52.0
"Chad",2006,4,NULL,52.0
"Chad",2006,NULL,NULL,72.0
"Chad",2007,1,"February",0
"Chad",2007,1,"January",0
"Chad",2007,1,"March",0
"Chad",2007,1,NULL,0
"Chad",2007,2,"April",0
"Chad",2007,2,"June",0
"Chad",2007,2,"May",14.0
"Chad",2007,2,NULL,14.0
"Chad",2007,3,"August",3.0
"Chad",2007,3,"July",0
"Chad",2007,3,"September",12.0
"Chad",2007,3,NULL,15.0
"Chad",2007,4,"December",0
"Chad",2007,4,"November",0
"Chad",2007,4,"October",0
"Chad",2007,4,NULL,0
"Chad",2007,NULL,NULL,29.0
"Chad",2008,1,"February",0
"Chad",2008,1,"January",0
"Chad",2008,1,"March",0
"Chad",2008,1,NULL,0
"Chad",2008,2,"April",0
"Chad",2008,2,"June",0
"Chad",2008,2,"May",0
"Chad",2008,2,NULL,0
"Chad",2008,3,"August",0
"Chad",2008,3,"July",0
"Chad",2008,3,"September",0
"Chad",2008,3,NULL,0
"Chad",2008,4,"December",0
"Chad",2008,4,"November",0
"Chad",2008,4,"October",22.0
"Chad",2008,4,NULL,22.0
"Chad",2008,NULL,NULL,22.0
"Chad",2009,1,"February",0
"Chad",2009,1,"January",0
"Chad",2009,1,"March",0
"Chad",2009,1,NULL,0
"Chad",2009,2,"April",102.0
"Chad",2009,2,"June",0
"Chad",2009,2,"May",0
"Chad",2009,2,NULL,102.0
"Chad",2009,3,"August",3.0
"Chad",2009,3,"July",0
"Chad",2009,3,"September",3.0
"Chad",2009,3,NULL,6.0
"Chad",2009,4,"December",0
"Chad",2009,4,"November",0
"Chad",2009,4,"October",0
"Chad",2009,4,NULL,0
"Chad",2009,NULL,NULL,108.0
"Chad",2010,1,"February",0
"Chad",2010,1,"January",0
"Chad",2010,1,"March",147.0
"Chad",2010,1,NULL,147.0
"Chad",2010,2,"April",0
"Chad",2010,2,"June",0
"Chad",2010,2,"May",0
"Chad",2010,2,NULL,0
"Chad",2010,3,"August",0
"Chad",2010,3,"July",0
"Chad",2010,3,"September",116.0
"Chad",2010,3,NULL,116.0
"Chad",2010,4,"December",0
"Chad",2010,4,"November",0
"Chad",2010,4,"October",0
"Chad",2010,4,NULL,0
"Chad",2010,NULL,NULL,263.0
"Chad",2011,1,"February",0
"Chad",2011,1,"January",0
"Chad",2011,1,"March",124.0
"Chad",2011,1,NULL,124.0
"Chad",2011,2,"April",0
"Chad",2011,2,"June",0
"Chad",2011,2,"May",0
"Chad",2011,2,NULL,0
"Chad",2011,3,"August",0
"Chad",2011,3,"July",0
"Chad",2011,3,"September",0
"Chad",2011,3,NULL,0
"Chad",2011,4,"December",0
"Chad",2011,4,"November",0
"Chad",2011,4,"October",433.0
"Chad",2011,4,NULL,433.0
"Chad",2011,NULL,NULL,557.0
"Chad",2012,1,"February",0
"Chad",2012,1,"January",0
"Chad",2012,1,"March",88.0
"Chad",2012,1,NULL,88.0
"Chad",2012,2,"April",0
"Chad",2012,2,"June",0
"Chad",2012,2,"May",0
"Chad",2012,2,NULL,0
"Chad",2012,3,"August",0
"Chad",2012,3,"July",0
"Chad",2012,3,"September",20.0
"Chad",2012,3,NULL,20.0
"Chad",2012,4,"December",0
"Chad",2012,4,"November",0
"Chad",2012,4,"October",0
"Chad",2012,4,NULL,0
"Chad",2012,NULL,NULL,108.0
"Chad",2013,1,"February",0
"Chad",2013,1,"January",0
"Chad",2013,1,"March",0
"Chad",2013,1,NULL,0
"Chad",2013,2,"April",0
"Chad",2013,2,"June",0
"Chad",2013,2,"May",0
"Chad",2013,2,NULL,0
"Chad",2013,3,"August",0
"Chad",2013,3,"July",0
"Chad",2013,3,"September",0
"Chad",2013,3,NULL,0
"Chad",2013,4,"December",0
"Chad",2013,4,"November",0
"Chad",2013,4,"October",0
"Chad",2013,4,NULL,0
"Chad",2013,NULL,NULL,0
"Chad",2014,1,"February",0
"Chad",2014,1,"January",0
"Chad",2014,1,"March",0
"Chad",2014,1,NULL,0
"Chad",2014,2,"April",0
"Chad",2014,2,"June",0
"Chad",2014,2,"May",0
"Chad",2014,2,NULL,0
"Chad",2014,3,"August",0
"Chad",2014,3,"July",0
"Chad",2014,3,"September",0
"Chad",2014,3,NULL,0
